subject_code,subject_name,parent_code,parent_name,level,root_code,segment_count,is_leaf,path_codes
1002,银行存款,,,1,1002,1,false,"[""1002""]"
1002.01,活期存款,1002,银行存款,2,1002,2,false,"[""1002"",""1002.01""]"
1002.02,定期存款,1002,银行存款,2,1002,2,false,"[""1002"",""1002.02""]"
1002.01.01,中资银行,1002.01,活期存款,3,1002,3,false,"[""1002"",""1002.01"",""1002.01.01""]"
1002.01.03,中资银行应计利息,1002.01,活期存款,3,1002,3,false,"[""1002"",""1002.01"",""1002.01.03""]"
1002.02.01,中资银行,1002.02,定期存款,3,1002,3,false,"[""1002"",""1002.02"",""1002.02.01""]"
1002.02.03,中资银行,1002.02,定期存款,3,1002,3,false,"[""1002"",""1002.02"",""1002.02.03""]"
1002.01.01.msyh,民生银行,1002.01.01,中资银行,4,1002,4,true,"[""1002"",""1002.01"",""1002.01.01"",""1002.01.01.msyh""]"
1002.01.03.msyh,民生银行,1002.01.03,中资银行应计利息,4,1002,4,true,"[""1002"",""1002.01"",""1002.01.03"",""1002.01.03.msyh""]"
1002.02.01.01,定期存款-中资银行,1002.02.01,中资银行,4,1002,4,false,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01""]"
1002.02.03.01,中资银行应计利息,1002.02.03,中资银行,4,1002,4,false,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01""]"
1002.02.01.01.001,工行,1002.02.01.01,定期存款-中资银行,5,1002,5,false,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.001""]"
1002.02.01.01.002,农行,1002.02.01.01,定期存款-中资银行,5,1002,5,false,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.002""]"
1002.02.03.01.001,工行,1002.02.03.01,中资银行应计利息,5,1002,5,false,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.001""]"
1002.02.03.01.002,农行,1002.02.03.01,中资银行应计利息,5,1002,5,false,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.002""]"
1002.02.01.01.001.DC5049 OTC,工行杭州南星桥支行5(20220527),1002.02.01.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.001"",""1002.02.01.01.001.DC5049 OTC""]"
1002.02.01.01.001.DC5079 OTC,工商银行佛山高明沧江支行9.9(20220630),1002.02.01.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.001"",""1002.02.01.01.001.DC5079 OTC""]"
1002.02.01.01.001.DC5080 OTC,工商银行英德支行4.99(20220630),1002.02.01.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.001"",""1002.02.01.01.001.DC5080 OTC""]"
1002.02.01.01.001.DC5086 OTC,工行中山城北支行9.7(20220722),1002.02.01.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.001"",""1002.02.01.01.001.DC5086 OTC""]"
1002.02.01.01.001.DC5087 OTC,工行中山西区支行9.8(20220722),1002.02.01.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.001"",""1002.02.01.01.001.DC5087 OTC""]"
1002.02.01.01.001.DC5092 OTC,工行中山银苑支行9.9(20220728),1002.02.01.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.001"",""1002.02.01.01.001.DC5092 OTC""]"
1002.02.01.01.002.DC5058 OTC,农行台州温岭支行20(20220610),1002.02.01.01.002,农行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.01"",""1002.02.01.01"",""1002.02.01.01.002"",""1002.02.01.01.002.DC5058 OTC""]"
1002.02.03.01.001.DC5049 OTC,工行杭州南星桥支行5(20220527),1002.02.03.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.001"",""1002.02.03.01.001.DC5049 OTC""]"
1002.02.03.01.001.DC5079 OTC,工商银行佛山高明沧江支行9.9(20220630),1002.02.03.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.001"",""1002.02.03.01.001.DC5079 OTC""]"
1002.02.03.01.001.DC5080 OTC,工商银行英德支行4.99(20220630),1002.02.03.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.001"",""1002.02.03.01.001.DC5080 OTC""]"
1002.02.03.01.001.DC5086 OTC,工行中山城北支行9.7(20220722),1002.02.03.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.001"",""1002.02.03.01.001.DC5086 OTC""]"
1002.02.03.01.001.DC5087 OTC,工行中山西区支行9.8(20220722),1002.02.03.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.001"",""1002.02.03.01.001.DC5087 OTC""]"
1002.02.03.01.001.DC5092 OTC,工行中山银苑支行9.9(20220728),1002.02.03.01.001,工行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.001"",""1002.02.03.01.001.DC5092 OTC""]"
1002.02.03.01.002.DC5058 OTC,农行台州温岭支行20(20220610),1002.02.03.01.002,农行,6,1002,6,true,"[""1002"",""1002.02"",""1002.02.03"",""1002.02.03.01"",""1002.02.03.01.002"",""1002.02.03.01.002.DC5058 OTC""]"
1003,定期存款减值准备,,,1,1003,1,false,"[""1003""]"
1003.01,减值准备(第一阶段),1003,定期存款减值准备,2,1003,2,false,"[""1003"",""1003.01""]"
1003.01.02,定期存款,1003.01,减值准备(第一阶段),3,1003,3,false,"[""1003"",""1003.01"",""1003.01.02""]"
1003.01.02.01,中资银行,1003.01.02,定期存款,4,1003,4,false,"[""1003"",""1003.01"",""1003.01.02"",""1003.01.02.01""]"
1003.01.02.01.001,工行,1003.01.02.01,中资银行,5,1003,5,false,"[""1003"",""1003.01"",""1003.01.02"",""1003.01.02.01"",""1003.01.02.01.001""]"
