sheet_name,row_data_number,subject_code,subject_name,level,parent_code,root_code,segment_count,path_codes,is_leaf
ODS_RAW_DATA,7,1002,银行存款,1,,1002,1,"[""1002""]",false
ODS_RAW_DATA,8,1002.01,银行存款_活期,2,1002,1002,2,"[""1002"",""1002.01""]",false
ODS_RAW_DATA,9,1002.01.01,投资组合托管账户,3,1002.01,1002,3,"[""1002"",""1002.01"",""1002.01.01""]",false
ODS_RAW_DATA,10,1002.01.01.01,投资组合托管帐户,4,1002.01.01,1002,4,"[""1002"",""1002.01"",""1002.01.01"",""1002.01.01.01""]",true
ODS_RAW_DATA,11,1002.01.99,应计银行存款利息,3,1002.01,1002,3,"[""1002"",""1002.01"",""1002.01.99""]",false
ODS_RAW_DATA,12,1002.01.99.01,投资组合托管帐户,4,1002.01.99,1002,4,"[""1002"",""1002.01"",""1002.01.99"",""1002.01.99.01""]",true
ODS_RAW_DATA,13,1103,交易性债券投资,1,,1103,1,"[""1103""]",false
ODS_RAW_DATA,14,1103.C2,以摊余成本计量的债券_银行间_已上市_短期融资券,2,1103,1103,2,"[""1103"",""1103.C2""]",false
ODS_RAW_DATA,15,1103.C2.01,以摊余成本计量的债券_银行间_已上市_短期融资券_成本,3,1103.C2,1103,3,"[""1103"",""1103.C2"",""1103.C2.01""]",false
ODS_RAW_DATA,16,1103.C2.01.072410272 IB,24财通证券CP008,4,1103.C2.01,1103,4,"[""1103"",""1103.C2"",""1103.C2.01"",""1103.C2.01.072410272 IB""]",true
ODS_RAW_DATA,17,1103.C2.03,以摊余成本计量类应计利息_银行间_已上市_短期融资债,3,1103.C2,1103,3,"[""1103"",""1103.C2"",""1103.C2.03""]",false
ODS_RAW_DATA,18,1103.C2.03.072410272 IB,24财通证券CP008,4,1103.C2.03,1103,4,"[""1103"",""1103.C2"",""1103.C2.03"",""1103.C2.03.072410272 IB""]",true
ODS_RAW_DATA,19,1103.H2,以摊余成本计量的债券_银行间_已上市_同业存单,2,1103,1103,2,"[""1103"",""1103.H2""]",false
ODS_RAW_DATA,20,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,3,1103.H2,1103,3,"[""1103"",""1103.H2"",""1103.H2.01""]",false
ODS_RAW_DATA,21,1103.H2.01.112402051 IB,24工商银行CD051,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112402051 IB""]",true
ODS_RAW_DATA,22,1103.H2.01.112402164 IB,24工商银行CD164,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112402164 IB""]",true
ODS_RAW_DATA,23,1103.H2.01.112404015 IB,24中国银行CD015,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112404015 IB""]",true
ODS_RAW_DATA,24,1103.H2.01.112404021 IB,24中国银行CD021,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112404021 IB""]",true
ODS_RAW_DATA,25,1103.H2.01.112404022 IB,24中国银行CD022,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112404022 IB""]",true
ODS_RAW_DATA,26,1103.H2.01.112404025 IB,24中国银行CD025,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112404025 IB""]",true
ODS_RAW_DATA,27,1103.H2.01.112404041 IB,24中国银行CD041,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112404041 IB""]",true
ODS_RAW_DATA,28,1103.H2.01.112405068 IB,24建设银行CD068,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112405068 IB""]",true
ODS_RAW_DATA,29,1103.H2.01.112405078 IB,24建设银行CD078,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112405078 IB""]",true
ODS_RAW_DATA,30,1103.H2.01.112405083 IB,24建设银行CD083,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112405083 IB""]",true
ODS_RAW_DATA,31,1103.H2.01.112405086 IB,24建设银行CD086,4,1103.H2.01,1103,4,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112405086 IB""]",true
