subject_code,subject_name,parent_code,parent_name,level,root_code,segment_count,is_leaf,path_codes
1103.H2.01.112408143 IB,24中信银行CD143,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112408143 IB""]"
1103.H2.01.112408158 IB,24中信银行CD158,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112408158 IB""]"
1103.H2.01.112408359 IB,24中信银行CD359,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112408359 IB""]"
1103.H2.01.112409110 IB,24浦发银行CD110,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112409110 IB""]"
1103.H2.01.112409164 IB,24浦发银行CD164,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112409164 IB""]"
1103.H2.01.112409174 IB,24浦发银行CD174,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112409174 IB""]"
1103.H2.01.112410060 IB,24兴业银行CD060,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112410060 IB""]"
1103.H2.01.112410104 IB,24兴业银行CD104,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112410104 IB""]"
1103.H2.01.112410114 IB,24兴业银行CD114,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112410114 IB""]"
1103.H2.01.112411047 IB,24平安银行CD047,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112411047 IB""]"
1103.H2.01.112411059 IB,24平安银行CD059,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112411059 IB""]"
1103.H2.01.112411073 IB,24平安银行CD073,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112411073 IB""]"
1103.H2.01.112411074 IB,24平安银行CD074,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112411074 IB""]"
1103.H2.01.112414042 IB,24江苏银行CD042,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112414042 IB""]"
1103.H2.01.112415252 IB,24民生银行CD252,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112415252 IB""]"
1103.H2.01.112417058 IB,24光大银行CD058,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112417058 IB""]"
1103.H2.01.112417142 IB,24光大银行CD142,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112417142 IB""]"
1103.H2.01.112418098 IB,24华夏银行CD098,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112418098 IB""]"
1103.H2.01.112418154 IB,24华夏银行CD154,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112418154 IB""]"
1103.H2.01.112418166 IB,24华夏银行CD166,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112418166 IB""]"
1103.H2.01.112418189 IB,24华夏银行CD189,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112418189 IB""]"
1103.H2.01.112420149 IB,24广发银行CD149,1103.H2.01,以摊余成本计量的债券_银行间_已上市_同业存单_成本,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.01"",""1103.H2.01.112420149 IB""]"
1103.H2.98.112402051 IB,24工商银行CD051,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112402051 IB""]"
1103.H2.98.112402164 IB,24工商银行CD164,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112402164 IB""]"
1103.H2.98.112404015 IB,24中国银行CD015,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112404015 IB""]"
1103.H2.98.112404021 IB,24中国银行CD021,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112404021 IB""]"
1103.H2.98.112404022 IB,24中国银行CD022,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112404022 IB""]"
1103.H2.98.112404025 IB,24中国银行CD025,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112404025 IB""]"
1103.H2.98.112404041 IB,24中国银行CD041,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112404041 IB""]"
1103.H2.98.112405068 IB,24建设银行CD068,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405068 IB""]"
1103.H2.98.112405078 IB,24建设银行CD078,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405078 IB""]"
1103.H2.98.112405083 IB,24建设银行CD083,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405083 IB""]"
1103.H2.98.112405086 IB,24建设银行CD086,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405086 IB""]"
1103.H2.98.112405106 IB,24建设银行CD106,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405106 IB""]"
1103.H2.98.112405113 IB,24建设银行CD113,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405113 IB""]"
1103.H2.98.112405146 IB,24建设银行CD146,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405146 IB""]"
1103.H2.98.112405149 IB,24建设银行CD149,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112405149 IB""]"
1103.H2.98.112406347 IB,24交通银行CD347,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112406347 IB""]"
1103.H2.98.112408092 IB,24中信银行CD092,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112408092 IB""]"
1103.H2.98.112408143 IB,24中信银行CD143,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112408143 IB""]"
1103.H2.98.112408158 IB,24中信银行CD158,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112408158 IB""]"
1103.H2.98.112408359 IB,24中信银行CD359,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112408359 IB""]"
1103.H2.98.112409110 IB,24浦发银行CD110,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112409110 IB""]"
1103.H2.98.112409164 IB,24浦发银行CD164,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112409164 IB""]"
1103.H2.98.112409174 IB,24浦发银行CD174,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112409174 IB""]"
1103.H2.98.112410060 IB,24兴业银行CD060,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112410060 IB""]"
1103.H2.98.112410104 IB,24兴业银行CD104,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112410104 IB""]"
1103.H2.98.112410114 IB,24兴业银行CD114,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112410114 IB""]"
1103.H2.98.112411047 IB,24平安银行CD047,1103.H2.98,以摊余成本计量的债券_银行间_已上市_同业存单_溢折价,4,1103,4,true,"[""1103"",""1103.H2"",""1103.H2.98"",""1103.H2.98.112411047 IB""]"
