DJ0233大家资产厚坤36号集合资产管理产品委托资产估值表20230321,,,,,,,,,,,,,
,,,,,,,,,,,,,
大家资产管理有限公司_大家资产厚坤36号集合资产管理产品_专用表,,,,,,,,,,,,,
日期：2023-03-21,,,,,,,单位净值：1.1029,,,,,,
科目代码,科目名称,币种,汇率,数量,单位成本,成本,成本占比,行情,市值,市值占比,估值增值,停牌信息,权益信息
,,,,,,本币,,,本币,,本币,,
,,,,,,十亿千百十万千百十元角分,,,十亿千百十万千百十元角分,,十亿千百十万千百十元角分,,
1111.01,买入返售金融资产,CNY,1,,,"560,032,986.30",6.4657%,,"560,032,986.30",6.4657%,,,
1111.01.01,买入返售金融资产,CNY,1,,,"560,032,986.30",6.4657%,,"560,032,986.30",6.4657%,,,
1111.01.01.01,质押式,CNY,1,,,"560,032,986.30",6.4657%,,"560,032,986.30",6.4657%,,,
1111.01.01.01.003,银行间,CNY,1,,,"560,000,480.00",6.4653%,,"560,000,480.00",6.4653%,,,
1111.01.01.01.003.00R001 IB,00R001,CNY,1,"5,600,000.00",100.00,"560,000,480.00",6.4653%,,"560,000,480.00",6.4653%,,,
1111.01.01.01.006,银行间_应计利息,CNY,1,,,"32,506.30",0.0004%,,"32,506.30",0.0004%,,,
1111.01.01.01.006.00R001 IB,00R001,CNY,1,,,"32,506.30",0.0004%,,"32,506.30",0.0004%,,,
2202,应付账款,CNY,,,,"4,407,624.40",0.0509%,,"4,407,624.40",0.0509%,,,
2202.01,应付账款-应付管理费,CNY,1,,,"2,559,706.00",0.0296%,,"2,559,706.00",0.0296%,,,
2202.01.YYL_GLF,管理费,CNY,1,,,"2,559,706.00",0.0296%,,"2,559,706.00",0.0296%,,,
2202.02,应付账款-应付托管费,CNY,1,,,"1,847,918.40",0.0213%,,"1,847,918.40",0.0213%,,,
2202.02.YYL_TGF,托管费,CNY,1,,,"1,847,918.40",0.0213%,,"1,847,918.40",0.0213%,,,
2207,应付佣金,***,,,,330.12,0.0000%,,330.12,0.0000%,,,
