sheet_name,row_data_number,subject_code,subject_name,level,parent_code,root_code,segment_count,path_codes,is_leaf
ODS_RAW_DATA,39,1105.F1.99.005094,万家臻选混合,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.005094""]",true
ODS_RAW_DATA,40,1105.F1.99.008269,大成睿享混合A,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.008269""]",true
ODS_RAW_DATA,41,1105.F1.99.010761,华商甄选回报混合A,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.010761""]",true
ODS_RAW_DATA,42,1105.F1.99.011066,大成高新技术产业股票C,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.011066""]",true
ODS_RAW_DATA,43,1105.F1.99.017167,景顺长城策略精选灵活配置混合C,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.017167""]",true
ODS_RAW_DATA,44,1105.F1.99.166020,中欧成长优选混合A,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.166020""]",true
ODS_RAW_DATA,45,1105.F1.99.166301,华商新趋势优选混合,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.166301""]",true
ODS_RAW_DATA,46,1105.F1.99.483003,工银精选平衡混合,4,1105.F1.99,1105,4,"[""1105"",""1105.F1"",""1105.F1.99"",""1105.F1.99.483003""]",true
ODS_RAW_DATA,47,1105.F2,场外LOF基金,2,1105,1105,2,"[""1105"",""1105.F2""]",false
ODS_RAW_DATA,48,1105.F2.01,成本,3,1105.F2,1105,3,"[""1105"",""1105.F2"",""1105.F2.01""]",false
ODS_RAW_DATA,49,1105.F2.01.161222,国投瑞利,4,1105.F2.01,1105,4,"[""1105"",""1105.F2"",""1105.F2.01"",""1105.F2.01.161222""]",true
ODS_RAW_DATA,50,1105.F2.99,估值增值,3,1105.F2,1105,3,"[""1105"",""1105.F2"",""1105.F2.99""]",false
ODS_RAW_DATA,51,1105.F2.99.161222,国投瑞利,4,1105.F2.99,1105,4,"[""1105"",""1105.F2"",""1105.F2.99"",""1105.F2.99.161222""]",true
ODS_RAW_DATA,52,2206,应付管理人报酬,1,,2206,1,"[""2206""]",false
ODS_RAW_DATA,53,2206.01,应付基金管理费,2,2206,2206,2,"[""2206"",""2206.01""]",false
ODS_RAW_DATA,54,2206.01.3M2273,应付基金管理费,3,2206.01,2206,3,"[""2206"",""2206.01"",""2206.01.3M2273""]",true
ODS_RAW_DATA,55,2207,应付托管费,1,,2207,1,"[""2207""]",false
ODS_RAW_DATA,56,2207.01,应付托管费,2,2207,2207,2,"[""2207"",""2207.01""]",false
ODS_RAW_DATA,57,2207.01.3M2273,应付托管费,3,2207.01,2207,3,"[""2207"",""2207.01"",""2207.01.3M2273""]",true
ODS_RAW_DATA,58,2209,应付交易费用,1,,2209,1,"[""2209""]",false
ODS_RAW_DATA,59,2209.01,应付佣金,2,2209,2209,2,"[""2209"",""2209.01""]",false
ODS_RAW_DATA,60,2209.01.29,国泰君安证券,3,2209.01,2209,3,"[""2209"",""2209.01"",""2209.01.29""]",false
ODS_RAW_DATA,61,2209.01.29.37450,37450,4,2209.01.29,2209,4,"[""2209"",""2209.01"",""2209.01.29"",""2209.01.29.37450""]",true
ODS_RAW_DATA,62,2501,预提费用,1,,2501,1,"[""2501""]",false
ODS_RAW_DATA,63,2501.01,审计费用,2,2501,2501,2,"[""2501"",""2501.01""]",true
